Unnamed: 0,제품명,리뷰어,날짜,옵션,사이즈평가,밝기평가,색감평가,두께감평가,리뷰내용,이미지,링크,성별,키,몸무게,카테고리
204,APR8 STAR LOGO HOODIE [6Color],LV.5 박민ㄱ,2023.09.02,오트밀/M,보통이에요,보통이에요,보통이에요,두꺼워요,옷 농협은행..😻 다른 분들은 사지 마세요 저만 입을래요기모가 있는 줄은 몰랐는데 기모 있어서 당황햇지만 겨울에 입음 되지 뭐 잘입겟습니다,"[""'//image.msscdn.net/data/estimate/3445872_0/gallery_64f3100ae6d09.jpg.list'"", ""'//image.msscdn.net/data/estimate/3445872_0/gallery_64f3100bba863.jpg.list'""]",https://www.musinsa.com/app/goods/3445872,여성,170,58,기타
205,APR8 STAR LOGO HOODIE [6Color],LV.4 뭘봐옷내놔,2023.09.13,네이비/L,보통이에요,보통이에요,선명해요,두꺼워요,핏과 사이즈가 제가 딱 바랬던 것입니다. 기모가 있는데도 그렇게 묵직하지도 않아요. 어디든 잘 어울릴거같아요,"[""'//image.msscdn.net/data/estimate/3445872_0/gallery_6501755250f7b.jpg.list'""]",https://www.musinsa.com/app/goods/3445872,남성,176,75,기타
206,APR8 STAR LOGO HOODIE [6Color],LV.3 s2uyi,2023.09.03,챠콜/M,커요,보통이에요,선명해요,보통이에요,기모 있어서 따뜻하고 좀 두꺼운거 싫어하는 편인데 생각보다 안두꺼워서 이쁘게 입을거 같아요! 엉덩이 다 덮는 길이라 좋아용,"[""'//image.msscdn.net/data/estimate/3445872_0/gallery_64f447005b412.jpg.list'""]",https://www.musinsa.com/app/goods/3445872,여성,170,54,기타
207,APR8 STAR LOGO HOODIE [6Color],LV.3 군민두,2023.10.01,오트밀/M,보통이에요,보통이에요,보통이에요,보통이에요,하진짜너무너무귀엽고예버요 핏이진짜ㄹㅈㄷ임!!!😭 멜란지그레이도 사고싶음진짜!! 아방하고 기모도두꺼워서겨울에진짜잘입을듯 개따듯함 착용감은 부들부들기분죠은착용감임🤍,"[""'//image.msscdn.net/data/estimate/3445872_0/gallery_65185682e00e6.jpg.list'"", ""'//image.msscdn.net/data/estimate/3445872_0/gallery_6518568437c8d.jpg.list'""]",https://www.musinsa.com/app/goods/3445872,여성,158,43,기타
208,APR8 STAR LOGO HOODIE [6Color],LV.3 뉴비_7714a2288bab,2023.09.05,멜란지그레이/M,커요,밝아요,보통이에요,두꺼워요,기모가 있다는걸 모르고 샀지만 그래도 만족해요!!기모가 있고 도톰하다는걸 감안하면 무겁진 않은편이고목이 기신 분들께는 후드는 길이가 조금 짧을수도 있을것 같아용프린팅은 버건디 느낌이라 더 예뽀용!!저는 추위를 좀 타는편이라 가을에 입기 딱 일거같아용!!사진은 진짜색이랑 비슷하게 보정해봤어용!!,"[""'//image.msscdn.net/data/estimate/3445872_0/gallery_64f6d4888ad1f.jpg.list'"", ""'//image.msscdn.net/data/estimate/3445872_0/gallery_64f6d4896e849.jpg.list'""]",https://www.musinsa.com/app/goods/3445872,여성,166,51,기타
209,APR8 STAR LOGO HOODIE [6Color],LV.4 뉴비_12e8c643,2023.09.06,블랙/L,보통이에요,보통이에요,보통이에요,보통이에요,"큰애 사달라고해서 사줬는데.. 예쁘네요~ 두께감,무게감 보통이구요.. 봄가을겨울 두루두루 잘 입을듯요~ 건조기에 줄지만 않으면 100점일듯~","[""'//image.msscdn.net/data/estimate/3445872_0/gallery_64f7478eac4b7.jpg.list'"", ""'//image.msscdn.net/data/estimate/3445872_0/gallery_64f7478f91639.jpg.list'""]",https://www.musinsa.com/app/goods/3445872,남성,173,63,기타
210,APR8 STAR LOGO HOODIE [6Color],LV.3 공주요정여신,2023.09.21,멜란지그레이/M,보통이에요,보통이에요,보통이에요,두꺼워요,하 증말 후드티 핏한번 기깔나네욤 요놈느무맘에들구요 기모땜시 10월 후반? 쯤부터 착용 가능할것우러 예상댐니다 ㅋ 두께감이 잇는폄이라 교복위에 입엇는데 으메… 눈싸람 가타써요 ㅎㅎ ㅋ 작년부터 살까말까 디게 벼르던 제품인데 올해 신상으로 나온것우로 추정되는 멜란지그레이가 느무 예뻐서 바로 질러보리고 말았서염 ㅋ 실물지립니당 암튼 그러코 옙 개이쁩니다 아!!?? 하나 아쉬운점. 저랑 똑같이 생각하시는 분이 많으셨는지 주문이 많이 들어갔나봐ㅏ요옹… 11일 걸렸어요 도착까지🥲 하지만 전 이미 이 점을 알고잇엇죠. ㅋ 상품 정보란? 그쪽에 출고지연되눈 제품들 명시되어있으니 참고하세효옹~~💖💖😇😋,"[""'//image.msscdn.net/data/estimate/3445872_0/gallery_650c207c18cd6.jpg.list'"", ""'//image.msscdn.net/data/estimate/3445872_0/gallery_650c207d32894.jpg.list'""]",https://www.musinsa.com/app/goods/3445872,여성,164,49,기타
211,APR8 STAR LOGO HOODIE [6Color],LV.3 지민지민지민지미니,2023.09.13,오트밀/M,보통이에요,보통이에요,보통이에요,보통이에요,국룰템!!!! 짱기여워요 오버핏으로 딱 이뿝니다ㅎㅎ 보들보들 착용감도 조아요,"[""'//image.msscdn.net/data/estimate/3445872_0/gallery_6501a248a498a.jpg.list'""]",https://www.musinsa.com/app/goods/3445872,여성,165,49,기타
212,APR8 STAR LOGO HOODIE [6Color],LV.3 뉴비_85d88b2332ee,2023.09.21,오트밀/M,보통이에요,보통이에요,선명해요,두꺼워요,휘뚜루마뚜루 데일리로 너무 잘 입고 있어요! 기모 들어있어서 낙낙하고 부들부들해요ㅎㅎ 그런데도 옷 자체가 무겁다거나 하지 않아서 딱 좋아요 키 170기준 M사이즈 잘 맞았어요! 디자인에 꽂혀서 산건데 재질도 좋고 다른 색도 사고 싶네요..😳 남녀불문하고 잘 입을 수 있는 옷인 것 같아요,"[""'//image.msscdn.net/data/estimate/3445872_0/gallery_650bc0a826326.jpg.list'""]",https://www.musinsa.com/app/goods/3445872,여성,169,57,기타
213,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.3 뉴비_1dd5998cbff8,2023.05.01,화이트/블랙/네이비/LL,보통이에요,보통이에요,선명해요,얇아요,실기시험 칠때 입었는데 땀에 옷이 붙지않아 좋아요. 적극추천,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_644f05b8db1da.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,남성,175,75,반팔
214,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.6 지구파괴후기,2023.04.30,화이트/블랙/네이비/L,보통이에요,보통이에요,보통이에요,얇아요,운동복 소재 느낌이라 여름에 시원하게 입기 좋습니다,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_644ddd2173354.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,남성,181,70,반팔
215,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.4 베베다,2022.06.08,화이트/블랙/네이비/M,보통이에요,보통이에요,보통이에요,보통이에요,시원하고 입고 다니기 편하네요. 여름에 입기 좋아요!,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_62a024c46455d.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,여성,169,52,반팔
216,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.4 뉴비_0a4b89b2046d,2023.04.26,화이트/블랙/네이비/LL,보통이에요,보통이에요,보통이에요,보통이에요,적당한두께랑 까칠한 소재감으로여름엔 시원할듯,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_6448d0c0023ad.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,남성,176,74,반팔
217,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.4 자전첩수,2022.03.10,블랙/블랙/블랙/4L,보통이에요,보통이에요,보통이에요,평가 없음,운동할때 입어도 좋고 잘때 입어도 좋아요!너무 편해요 색깔구성도 마음대로 할수있어서 좋네용,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_6229b97e68718.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,여성,170,70,반팔
218,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.5 운동하는남,2022.02.22,화이트/블랙/네이비/LL,보통이에요,보통이에요,보통이에요,평가 없음,깔끔하고 운동할때 입기 좋아요. 여름에 잘입을게요.,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_62143789b47c9.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,남성,177,80,반팔
219,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.6 잔디는 귀염둥이,2021.10.19,화이트/블랙/네이비/LL,보통이에요,보통이에요,보통이에요,평가 없음,운동할때 입으랴고샀는데 좋아요 이뿝니다 베리굿!,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_616edcfd94e84.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,남성,178,84,반팔
220,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.3 홍서쁨,2023.06.27,블랙/블랙/블랙/M,보통이에요,보통이에요,보통이에요,보통이에요,일할때 입으려고 사서 편하게 잘 입고있어요! 몇 개 더 사놓을 예정입니다,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_649a9ba523a99.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,여성,157,50,반팔
221,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.5 sannjs,2022.04.21,화이트/블랙/네이비/S,커요,보통이에요,보통이에요,보통이에요,이게...진짜 이 가격에 기능성이라 목도 안 늘어나고 진짜 좋아요!! 살짝 아쉬운 건 s사이즈를 총장보고 살짝 크롭한 느낌을 바라고 샀는데 생각보다 많이 길더라구요 ㅎㅎ!! 근데도 이 가격이 3개라는게 진짜 말이 안돼서 완전 만족 중 입니다...♡,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_626167251b83b.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,여성,157,47,반팔
222,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,LV.3 Nuja,2023.05.12,블랙/블랙/블랙/L,보통이에요,보통이에요,보통이에요,보통이에요,메쉬소재라 시원하고 운동할때 입기좋을거같아요딱 헬스장 운동복소재같네요제3의눈이보여요 물론 제몸이 문제겠죠,"[""'//image.msscdn.net/data/estimate/2029969_0/gallery_645d758ebe758.jpg.list'""]",https://www.musinsa.com/app/goods/2029969,남성,176,79,반팔
223,1992 라이크더모스트 오버핏 후드,LV.4 뉴비_bd54301,2023.09.25,화이트멜란지/L,커요,밝아요,보통이에요,얇아요,"제 스펙에 딱 적당한 오버핏이라 비슷한 스펙이시면 L추천! 두께감은 전체적으로 얇아서 핏이 후리후리하게 떨어지는 건 좋지만 겨울에는 레이어드 필수일 것 같아요. 프린팅 색감도 너무 혼자 튀지 않고, 특히 모자가 엄청 큼!","[""'//image.msscdn.net/data/estimate/3447218_0/gallery_65116396506d1.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,여성,162,64,후드
224,1992 라이크더모스트 오버핏 후드,LV.4 성봉골,2023.10.25,멜란지/XL,보통이에요,보통이에요,보통이에요,보통이에요,후드티 잘안입는데 디자인 괜찮아보여서 구매했습니다제기준에 너무딱맞아서 빨면줄어들까 겁나네요,"[""'//image.msscdn.net/data/estimate/3447218_0/gallery_653861e0877f2.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,남성,187,88,후드
225,1992 라이크더모스트 오버핏 후드,LV.3 뉴비_d77303be,2023.10.17,멜란지/XL,보통이에요,보통이에요,선명해요,보통이에요,핏 넘 예쁘구 모자도 축쳐지지 않고 딱 기본 회색 후디 원하면 이거!!,"[""'//image.msscdn.net/data/estimate/3447218_0/gallery_652e17ab430c6.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,여성,171,65,후드
226,1992 라이크더모스트 오버핏 후드,LV.2 무지멋진이름,18일 전,화이트멜란지/XL,보통이에요,밝아요,선명해요,얇아요,후드가 필요해서 샀는데 사이즈 착용감 둘다 괜찮습니다. 핏도 예쁘게 떨어지고 생각보다 얇긴 합니다.,"[""'//image.msscdn.net/data/estimate/3447218_0/gallery_656178ef426c0.jpg.list'"", ""'//image.msscdn.net/data/estimate/3447218_0/gallery_656178f063f06.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,남성,175,83,후드
227,1992 라이크더모스트 오버핏 후드,LV.3 어깨결림,2023.10.12,멜란지/XL,보통이에요,보통이에요,선명해요,보통이에요,연휴에사서 비록 늦게왓지만 저렴하게 행사때잘산거같아요,"[""'//image.msscdn.net/data/estimate/3447218_0/gallery_6527b9bc9bca8.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,남성,172,96,후드
228,1992 라이크더모스트 오버핏 후드,LV.3 이쁜옷찾아간다,12일 전,화이트멜란지/S,보통이에요,보통이에요,보통이에요,보통이에요,전체적인 핏 이쁘고 모자 핏도 이뻐요! 전 조끼 안에다 넣어입으려고 산 거여서 해봤는데 이쁘더라구요! 무게 가볍고 단품으로만 입으면 추울 거 같아요😙,"[""'//image.msscdn.net/data/estimate/3447218_0/gallery_656983f6e0f4d.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,여성,159,59,후드
229,1992 라이크더모스트 오버핏 후드,LV.3 뉴비_a98b5c1a0778,21일 전,블랙/L,보통이에요,보통이에요,보통이에요,보통이에요,옷이 가볍고 디자인도 무난하게 예뻐서 너무 너무 좋아요❤️,"[""'//image.msscdn.net/data/estimate/3447218_0/gallery_655cb3ccd7b32.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,남성,178,66,후드
230,1992 라이크더모스트 오버핏 후드,LV.5 우루훗도야,2023.11.02,멜란지/L,보통이에요,보통이에요,선명해요,보통이에요,요즘 날씨에 막 입기 좋습니다 너무 얇지 않아요 굿,"[""'//image.msscdn.net/data/estimate/3447218_0/gallery_65432ef817ff1.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,여성,165,50,후드
231,1992 라이크더모스트 오버핏 후드,LV.4 뉴비_aa4f296d,4일 전,멜란지/XL,보통이에요,밝아요,선명해요,보통이에요,편해서 다양하게 입기 좋아요디자인도 이뻐요 운동할때 입기도 좋아요,"[""'//image.msscdn.net/data/estimate/3447218_0/gallery_657343d9894f7.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,남성,180,83,후드
232,1992 라이크더모스트 오버핏 후드,LV.3 raeum39,6일 전,화이트멜란지/L(기모추가),커요,밝아요,선명해요,보통이에요,밝은 회색톤이에요!! 원단은 부들부들해서 기분이 좋네요!!클까봐 걱정많이 했는데 원단이 부드러워서 자연스럽게 흘러내리게 입을수 있어서 예뻐요!!후드 큰거 좋아하는데 후드도 적당히 커서 만족입니다!!,"[""'//image.msscdn.net/data/estimate/3447218_0/gallery_65708167f04ad.jpg.list'"", ""'//image.msscdn.net/data/estimate/3447218_0/gallery_6570816874ce3.jpg.list'""]",https://www.musinsa.com/app/goods/3447218,여성,170,56,후드
233,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.3 뉴비_29b21242,2023.10.29,A.크루넥 하찌 니트_차콜/M,커요,보통이에요,보통이에요,두꺼워요,"최고예요 ㄷㄷ남친 선물로 샀는데 오버핏이라고 적혀있어도 그래봤자 얼마나 크겠어?하는 마음에 M주문했어요.근데 ㅋㅋ172에 70키로....커요...ㅋㅋ너무나 커요 ㅋㅋ제가 입었는데 엉덩이를 넘어 허벅지까지 대충 가려줘요 ㅋㅋ175이하는 S가세요내가 어깡이다!@ 자신있다!!싶은 분들은 M가셔도 돼요.(제 동생이 174에 한 어깨 하는데 얘 입히니까 딱 좋더라고요 ㅋ 거의 사람 두명분 어깨예염)루즈핏이라고 분명 적혀 있어요 여러분!!원래 사이즈 사고 후회하지 마셔요!!근데 사이즈를 떠나서옷 핏이랑 원단이랑 짜임이 미쳤오요!!원래는 사이즈 변경하려고 했는데 그냥 제가 입으려고 킵했거든요??3일째 요거 입고 출근했어요 ㅋㅋ오버핏인데 흐르는 느낌 대박임!!ㅋㅋ여기에 샤스커트 입어주면 유니섹스한 느낌 나와용근데 하찌짜임에 실이 좋은 실인지 진짜 따듯해요.따듯하고 이쁘고!! 혼자 다함!!아!! 차콜컬러 색감 미쳤어요!!차콜 주문한 나 칭찬해 히힛남친거는 다른컬러로 주문할거고, 동생녀석도 주문해 달라네요.3개 주문해도 백화점 니트 가격 반도 안되는거 실화냐고요 ㄷㄷ리뷰 적으면서 아빠것도 사야겠다고 방금 결심했어요.ㅋㅋ이거 안사면 돈버리는 템이예요!!강추 날려용♡","[""'//image.msscdn.net/data/estimate/3498319_0/gallery_653de37c3b8c0.jpg.list'"", ""'//image.msscdn.net/data/estimate/3498319_0/gallery_653de37d093e8.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,여성,168,55,니트
234,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.4 우성캉,2023.10.18,A.크루넥 하찌 니트_카키/L,보통이에요,보통이에요,보통이에요,보통이에요,완전좋습니당 최괴애요 다음에 또구매허겠습니가,"[""'//image.msscdn.net/data/estimate/3498319_0/gallery_652f338ff2d38.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,남성,177,84,니트
235,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.3 수시합격이다,2023.10.12,"A.크루넥 하찌 니트_카키/L
                                    
                                        , B.크루넥 하찌 니트_아이보리_L(+15800원)",커요,어두워요,선명해요,보통이에요,색감이나 사이즈 모두 다 이쁜것 같아요 가격대비 너무 좋아요 사이즈는 좀 덩치있는분들이면 L좀 마르신분들은 m추천합니다,"[""'//image.msscdn.net/data/estimate/3498319_0/gallery_6527857059103.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,남성,183,81,니트
236,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.6 이이ㅣ이이이이,2023.11.10,"A.크루넥 하찌 니트_카키/XL
                                    
                                        , B.크루넥 하찌 니트_아이보리_M(+14800원)",보통이에요,보통이에요,보통이에요,보통이에요,"짱짱한 내구성에 뚜렷한 색감, 보온성까지 니트 두개를 괜찮은 가격에 구매했네요 기장은 조금 깁니다","[""'//image.msscdn.net/data/estimate/3498319_0/gallery_654d6d679d7cd.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,남성,188,80,니트
237,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.3 뉴비_381030e8,2023.10.11,A.크루넥 하찌 니트_차콜/XL,커요,보통이에요,선명해요,두꺼워요,배송이 진짜 빨랐어요! 색도이뻐서 니트입문용으로 좋아요,"[""'//image.msscdn.net/data/estimate/3498319_0/gallery_65256b8dbdedc.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,남성,176,90,니트
238,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.4 딸기맛말랑카우,2023.10.26,A.크루넥 하찌 니트_카키/M,커요,보통이에요,선명해요,보통이에요,편하게 오버핏으로 입을 니트 찾다가 맘에 들어서 바로 겟. .재질도 가격있어보입니다.멋스러운 니트라서  청바지에 그냥 코디했을뿐인데 스타일 괜찮고 좋아요.가격착하게 잘산것같아요.컬러 다 이뻐서 고민하다가 카키 선택한건데 마음에 들구요.지금부터 겨울내내 입을수있을것같네요.,"[""'//image.msscdn.net/data/estimate/3498319_0/gallery_653a1d3dcac7c.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,여성,160,49,니트
239,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.5 뉴비_daf4f2d6,28일 전,"A.크루넥 하찌 니트_차콜/L
                                    
                                        , 선택안함
                                    
                                        , 선택안함",보통이에요,보통이에요,보통이에요,보통이에요,차콜색 이뻐요 단독으로 입어도 까끌 거리지 않아여,"[""'//image.msscdn.net/data/estimate/3498319_0/gallery_65545c75bf5ce.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,남성,175,63,니트
240,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.4 윤살구,2023.10.27,A.크루넥 하찌 니트_아이보리/L,보통이에요,보통이에요,선명해요,두꺼워요,배송 진짜 빨리 왔네요 니트 짜임 진짜 짱짱하고 좋아요하찌 니트 많이 사봤는데 그 중에 가장 괜찮은 듯색감도 아이보리라서 화사한데 두께감이 있어서한겨울에도 산뜻하게 착용 가능할 듯 합니다 ㅋㅋ퀄리티 괜찮아서 다른 컬러로도 몇개 더 사려고요,"[""'//image.msscdn.net/data/estimate/3498319_0/gallery_653b2a76a486c.jpg.list'"", ""'//image.msscdn.net/data/estimate/3498319_0/gallery_653b2a7894042.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,남성,179,71,니트
241,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.4 삼반.,17일 전,A.크루넥 하찌 니트_블랙/L,보통이에요,보통이에요,보통이에요,보통이에요,검은색 니트가 필요해서 구매했습니다. 저번에 구매했던 니트가 마음에들어서 같은 브랜드로 찾아봤는데가격 대비 제일좋은 선택이었습니다.,"[""'//image.msscdn.net/data/estimate/3498319_0/gallery_65624ebd0b04a.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,남성,180,71,니트
242,오버핏 하찌 니트 - 8 COLOR [ONE OR TWO],LV.3 태니에게하츄,5일 전,"A.크루넥 하찌 니트_차콜/L
                                    
                                        , B.크루넥 하찌 니트_블랙_L(+14800원)",보통이에요,보통이에요,선명해요,두꺼워요,"일단 첨에 들었던 생각은 ""오!! 괜찮다!!"" 도툼한 편이고 살짝 커보인다, 따뜻해보이고 이쁘다였어요.안에 검정 반팔티를 입고 니트를 입어봤는데요, 맨살 닿는 부분은 살짝 까끌거리는 느낌이 들어요~ 속에 얇은 긴팔 티셔츠를 입는게 좋을 것 같습니다. 색깔이 다 이뻐보여서 고민 한참하다가 검정이랑 차콜 두 개 주문했는데 둘 다 너무 마음에 들어요~ 입어보니 상당히 이쁩니다. 크다는 리뷰가 많아서 고민했었는데 막상 입어보니 그냥 정핏에서 세미오버핏 사이정도? 제 키랑 체중 주변이면 L사면 될 것 같아요. 첫번째 사진은 쭉 펴서 내렸을 때 길이이구요, 두번째는 살짝 접었습니다. 짜임이 쫀쫀해서 흘러내리지 않고 길이 조절이 가능하네요! 검정은 진짜 또렷한 검정이구요, 차콜은 살짝 진녹색이 보일랑말랑하다는 착각이 들기도하지만 찐~한 따뜻해 보이는 고급진 회색입니다. 제가 니트를 좋아하고 즐겨입는데, 가격대비 이 정도 품질이면 상당히 괜찮은 것 같아요. 청바지, 면바지, 츄리닝 다 잘 어울립니다.","[""'//image.msscdn.net/data/estimate/3498319_0/gallery_657190d8c1b4c.jpg.list'"", ""'//image.msscdn.net/data/estimate/3498319_0/gallery_657190d981a98.jpg.list'""]",https://www.musinsa.com/app/goods/3498319,남성,180,75,니트
243,UNISEX LAUREL OVERSIZED HOODIE,LV.3 억우해서더어,2021.10.07,M,커요,어두워요,선명해요,두꺼워요,기모라 지금은 더워서 반바지에 입고다니는데 정말 이뻐요 길이도 제가 생각한 길이랑 딱이라서 너무 좋아요 ~,"[""'//image.msscdn.net/data/estimate/1211169_0/gallery_615e586cd7794.jpg.list'""]",https://www.musinsa.com/app/goods/1211169,여성,160,52,기타
244,UNISEX LAUREL OVERSIZED HOODIE,LV.6 황다술,2021.03.06,M,커요,밝아요,선명해요,두꺼워요,레이어드 해서 입고 싶었는데 생각 보다 사이즈가 커서 놀랐는데 그래도 옷 자체는 너무 예뻐요 빽 프린팅도 생각보다 너무 예쁘고 옷 자체가 두툼해서 지금 날씨에 후드 하나만 걸쳐 입어도 안추워서 많이 입고 다닐꺼 같아요 감사합니다,"[""'//image.msscdn.net/data/estimate/1211169_0/gallery_6043697c53376.jpg.list'"", ""'//image.msscdn.net/data/estimate/1211169_0/gallery_6043697d2934e.jpg.list'""]",https://www.musinsa.com/app/goods/1211169,여성,170,57,기타
245,UNISEX LAUREL OVERSIZED HOODIE,LV.5 seon_gi,2021.05.03,M,보통이에요,보통이에요,보통이에요,보통이에요,백프린팅이 진짜 예쁜 거 같아요 ㅎㅎ 마음에 드는 제품입니다,"[""'//image.msscdn.net/data/estimate/1211169_0/gallery_608faab0b2f8c.jpg.list'""]",https://www.musinsa.com/app/goods/1211169,남성,170,55,기타
246,UNISEX LAUREL OVERSIZED HOODIE,LV.3 구찌루이휠라슈프림섞은바1보,2022.09.16,L(쭈리),보통이에요,보통이에요,보통이에요,보통이에요,"저랑 같은 체형이신 분들 사이즈 대충 감잡으시라구 올려용 전 160에 바스트 있는 체형이고, 엉덩이랑 허벅지도 있어요 L 사이즈 160cm 기준 엉덩이 완전히 덮고 저는 기모 아니고 쭈리 사서 두껍진 않고 적당히 도톰했어요 여름 빼고는 다 입을 수 있을 것 같아요 저처럼 통통한 분들 고민 말구 구매하세요 굿!다만 처음 꺼냈을 때 식초 냄새가 심하게 나서 놀랐음 🥹","[""'//image.msscdn.net/data/estimate/1211169_0/gallery_632345aabbd44.jpg.list'""]",https://www.musinsa.com/app/goods/1211169,여성,160,58,기타
247,UNISEX LAUREL OVERSIZED HOODIE,LV.5 윤지르,2021.10.27,XL,보통이에요,어두워요,선명해요,보통이에요,작을까봐 걱정했는데 잘맞아요.그리고 기모라서 따뜻해요.,"[""'//image.msscdn.net/data/estimate/1211169_0/gallery_6178e9fae06bc.jpg.list'"", ""'//image.msscdn.net/data/estimate/1211169_0/gallery_6178e9fc41f78.jpg.list'""]",https://www.musinsa.com/app/goods/1211169,남성,178,95,기타
248,UNISEX LAUREL OVERSIZED HOODIE,LV.3 mashmel5,2021.09.14,L,보통이에요,보통이에요,보통이에요,두꺼워요,생각보다 그리 엄청 크진 않아요.정핏인데 제가 크게 산 느낌.맘에 듭니당~두께감이랑 디자인 다 좋아요!,"[""'//image.msscdn.net/data/estimate/1211169_0/gallery_6140716be853d.jpg.list'""]",https://www.musinsa.com/app/goods/1211169,여성,164,57,기타
249,UNISEX LAUREL OVERSIZED HOODIE,LV.5 나다해,2021.02.12,M,커요,어두워요,선명해요,보통이에요,"남동생 사준거에유 마침 입고있길래 일어나보라고 급 찍은거라 후드 핏만 보세요,,ㅋㅎㅋㅋㅎ 앞이랑 뒤 자수 넘 좋아해요 예쁘다고 자주 입고 다녀요 사이즈도 엄청 큰 오버사이즈 원했는데 이것도 괜찮다네유","[""'//image.msscdn.net/data/estimate/1211169_0/gallery_6025ddca80735.jpg.list'""]",https://www.musinsa.com/app/goods/1211169,남성,164,54,기타
250,UNISEX LAUREL OVERSIZED HOODIE,LV.7 모찌 대디,2021.09.01,L(쭈리),보통이에요,어두워요,선명해요,보통이에요,일단 어반 후드티를 해당 상품 포함 선물겸 종류별로 총 6장 주문했는데 다른 색상에 비해 블랙이 한치수가량 작은 느낌이라 보시면 됩니다 유독 블랙만 그래요 물론 비교대상 없이 하나만 입으시면 잘 모르실수도 있는데 블랙은 L 사이즈가 M 사이즈와 비슷한 실측이라 보시면 될것같습니다 다른 후디는 L로 통일 했는데 이것만 교환하여 XL을 하니 원하는 핏이 나오네요 단순 느낌만이 아니라 실착 했을때 어깨와 품이 그다지 여유없고 붙는 실루엣이 나옵니다 사진은 제가 L을 입었을때 사진입니다 참고하셔서 구매에 도움되길바래요,"[""'//image.msscdn.net/data/estimate/1211169_0/gallery_612f4e0d4abb3.jpg.list'"", ""'//image.msscdn.net/data/estimate/1211169_0/gallery_612f4e0e22483.jpg.list'""]",https://www.musinsa.com/app/goods/1211169,남성,173,70,기타
251,UNISEX LAUREL OVERSIZED HOODIE,LV.5 태윤이가해,2021.09.04,M,커요,어두워요,보통이에요,보통이에요,엉덩이까지 덮는 길이고 팔 길이 살짝 길어서 좋은거 같아요,"[""'//image.msscdn.net/data/estimate/1211169_0/gallery_61323994b83ff.jpg.list'""]",https://www.musinsa.com/app/goods/1211169,여성,153,43,기타
